source,buyer,buyer_unit,vendor,listed_company,description,amount,date,award_id,url
usaspending,Department of Defense,Defense Logistics Agency,GOVPARTS LLC,,"8510499140!VALVE,FLOW CONTROL",114240.0,2024-03-11,SPE7MC24V4124,https://www.usaspending.gov/award/CONT_AWD_SPE7MC24V4124_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BURHANI ENTERPRISES INC,,"8510993985!TRAP,STEAM",113076.0,2024-11-01,SPE7M225P0450,https://www.usaspending.gov/award/CONT_AWD_SPE7M225P0450_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511621868!SEAL ASSEMBLY,SHAFT",112990.82,2025-09-05,SPE7M125F3124,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F3124_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511216018!VALVE,CHECK",112878.08,2025-02-27,SPE7M125F1152,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F1152_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,"SZCZYPSKI, MICHAEL",,"8509797899!BODY,VALVE",112489.4,2023-03-29,SPE7MC23V3936,https://www.usaspending.gov/award/CONT_AWD_SPE7MC23V3936_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,8511213031!BACKPLATE ASSEMBLY,112200.87,2025-02-26,SPE8E825F0173,https://www.usaspending.gov/award/CONT_AWD_SPE8E825F0173_9700_SPE8E824D0002_9700
usaspending,Department of Defense,Defense Logistics Agency,FBC ENTERPRISES LLC,,"8510440294!MANIFOLD ASSEMBLY,H",111992.51,2024-02-12,SPE7M324P0989,https://www.usaspending.gov/award/CONT_AWD_SPE7M324P0989_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,"BALLCO MANUFACTURING COMPANY, INC.",,REPAIR 70 BALL VALVE PARTS KITS,111825.0,2020-02-18,N0010420PFB20,https://www.usaspending.gov/award/CONT_AWD_N0010420PFB20_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8511546145!VALVE,FLOW CONTROL",111803.04,2025-08-01,SPE7MC25V5209,https://www.usaspending.gov/award/CONT_AWD_SPE7MC25V5209_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8511579592!VALVE,SAFETY RELIEF",109714.8,2025-08-21,SPE7MC25P2601,https://www.usaspending.gov/award/CONT_AWD_SPE7MC25P2601_9700_-NONE-_-NONE-
